state,abbreviation,liberalness (0-5),num. of reps
"Alabama","AL",0,7,
"Alaska","AK",0,1,
"Arizona","AZ",1,9,
"Arkansas","AR",1,4,
"California","CA",5,53,
"Colorado","CO",3,7,
"Connecticut","CT",5,5,
"Delaware","DE",5,1,
District of Columbia,DC,5,0,
"Florida","FL",2,27,
"Georgia","GA",1,14,
"Hawaii","HI",5,2,
"Idaho","ID",1,2,
"Illinois","IL",5,18,
"Indiana","IN",2,9,
"Iowa","IA",3,4,
"Kansas","KS",0,4,
"Kentucky","KY",1,6,
"Louisiana","LA",1,6,
"Maine","ME",5,2,
"Maryland","MD",4,8,
"Massachusetts","MA",5,9,
"Michigan","MI",4,14,
"Minnesota","MN",5,8,
"Mississippi","MS",0,4,
"Missouri","MO",1,8,
"Montana","MT",0,1,
"Nebraska","NE",0,3,
"Nevada","NV",3,4,
"New Hampshire","NH",4,2,
"New Jersey","NJ",4,12,
"New Mexico","NM",4,3,
"New York","NY",5,27,
"North Carolina","NC",2,13,
"North Dakota","ND",0,1,
"Ohio","OH",3,16,
"Oklahoma","OK",0,5,
"Oregon","OR",5,5,
"Pennsylvania","PA",4,18,
"Rhode Island","RI",5,2,
"South Carolina","SC",1,7,
"South Dakota","SD",0,1,
"Tennessee","TN",1,9,
"Texas","TX",0,36,
"Utah","UT",0,4,
"Vermont","VT",5,1,
"Virginia","VA",2,11,
"Washington","WA",5,10,
"West Virginia","WV",1,3,
"Wisconsin","WI",5,8,
"Wyoming","WY",0,1,
