state,abbreviation,district,PVI
Alabama,AL,1,-15,
Alabama,AL,2,-17,
Alabama,AL,3,-16,
Alabama,AL,4,-28,
Alabama,AL,5,-17,
Alabama,AL,6,-28,
Alabama,AL,7,20,
Alaska,AK,1,-12,
Arizona,AZ,1,-4,
Arizona,AZ,2,-3,
Arizona,AZ,3,8,
Arizona,AZ,4,-20,
Arizona,AZ,5,-17,
Arizona,AZ,6,-12,
Arizona,AZ,7,16,
Arizona,AZ,8,-15,
Arizona,AZ,9,-1,
ArKansas,KS,AR,1,-14,
ArKansas,KS,AR,2,-8,
ArKansas,KS,AR,3,-19,
ArKansas,KS,AR,4,-15,
California,CA,1,-10,
California,CA,2,20,
California,CA,3,3,
California,CA,4,-10,
California,CA,5,19,
California,CA,6,18,
California,CA,7,0,
California,CA,8,-10,
California,CA,9,6,
California,CA,10,-1,
California,CA,11,17,
California,CA,12,34,
California,CA,13,37,
California,CA,14,23,
California,CA,15,16,
California,CA,16,7,
California,CA,17,20,
California,CA,18,18,
California,CA,19,19,
California,CA,20,21,
California,CA,21,2,
California,CA,22,-10,
California,CA,23,-16,
California,CA,24,4,
California,CA,25,-3,
California,CA,26,4,
California,CA,27,11,
California,CA,28,20,
California,CA,29,25,
California,CA,30,14,
California,CA,31,5,
California,CA,32,12,
California,CA,33,11,
California,CA,34,30,
California,CA,35,15,
California,CA,36,-1,
California,CA,37,34,
California,CA,38,12,
California,CA,39,-5,
California,CA,40,29,
California,CA,41,9,
California,CA,42,-10,
California,CA,43,26,
California,CA,44,32,
California,CA,45,-7,
California,CA,46,9,
California,CA,47,8,
California,CA,48,-7,
California,CA,49,-4,
California,CA,50,-14,
California,CA,51,16,
California,CA,52,2,
California,CA,53,10,
Colorado,CO,1,18,
Colorado,CO,2,8,
Colorado,CO,3,-5,
Colorado,CO,4,-11,
Colorado,CO,5,-13,
Colorado,CO,6,1,
Colorado,CO,7,5,
Connecticut,CT,1,13,
Connecticut,CT,2,5,
Connecticut,CT,3,11,
Connecticut,CT,4,5,
Connecticut,CT,5,3,
Delaware,DE,1,8,
Florida,FL,1,-21,
Florida,FL,2,-6,
Florida,FL,3,-14,
Florida,FL,4,-19,
Florida,FL,5,21,
Florida,FL,6,-9,
Florida,FL,7,-4,
Florida,FL,8,-9,
Florida,FL,9,8,
Florida,FL,10,-6,
Florida,FL,11,-11,
Florida,FL,12,-7,
Florida,FL,13,-1,
Florida,FL,14,13,
Florida,FL,15,-6,
Florida,FL,16,-6,
Florida,FL,17,-10,
Florida,FL,18,-3,
Florida,FL,19,-12,
Florida,FL,20,29,
Florida,FL,21,10,
Florida,FL,22,3,
Florida,FL,23,9,
Florida,FL,24,34,
Florida,FL,25,-5,
Florida,FL,26,-1,
Florida,FL,27,-2,
Georgia,GA,1,-9,
Georgia,GA,2,6,
Georgia,GA,3,-19,
Georgia,GA,4,21,
Georgia,GA,5,32,
Georgia,GA,6,-14,
Georgia,GA,7,-14,
Georgia,GA,8,-15,
Georgia,GA,9,-30,
Georgia,GA,10,-14,
Georgia,GA,11,-19,
Georgia,GA,12,-9,
Georgia,GA,13,16,
Georgia,GA,14,-26,
Hawaii,HI,1,18,
Hawaii,HI,2,21,
Idaho,ID,1,-18,
Idaho,ID,2,-17,
Illinois,IL,1,28,
Illinois,IL,2,29,
Illinois,IL,3,5,
Illinois,IL,4,29,
Illinois,IL,5,16,
Illinois,IL,6,-4,
Illinois,IL,7,36,
Illinois,IL,8,8,
Illinois,IL,9,15,
Illinois,IL,10,8,
Illinois,IL,11,8,
Illinois,IL,12,0,
Illinois,IL,13,0,
Illinois,IL,14,-5,
Illinois,IL,15,-14,
Illinois,IL,16,-4,
Illinois,IL,17,7,
Illinois,IL,18,-11,
Indiana,IN,1,10,
Indiana,IN,2,-6,
Indiana,IN,3,-13,
Indiana,IN,4,-11,
Indiana,IN,5,-9,
Indiana,IN,6,-12,
Indiana,IN,7,13,
Indiana,IN,8,-8,
Indiana,IN,9,-9,
Iowa,IA,1,5,
Iowa,IA,2,4,
Iowa,IA,3,0,
Iowa,IA,4,-5,
Kansas,KS,1,-23,
Kansas,KS,2,-8,
Kansas,KS,3,-6,
Kansas,KS,4,-14,
Kentucky,KY,1,-18,
Kentucky,KY,2,-16,
Kentucky,KY,3,4,
Kentucky,KY,4,-16,
Kentucky,KY,5,-25,
Kentucky,KY,6,-9,
Louisiana,LA,1,-26,
Louisiana,LA,2,23,
Louisiana,LA,3,-19,
Louisiana,LA,4,-13,
Louisiana,LA,5,-15,
Louisiana,LA,6,-21,
Maine,ME,1,9,
Maine,ME,2,2,
Maryland,MD,1,-14,
Maryland,MD,2,10,
Maryland,MD,3,9,
Maryland,MD,4,26,
Maryland,MD,5,14,
Maryland,MD,6,4,
Maryland,MD,7,24,
Maryland,MD,8,11,
Massachusetts,MA,1,13,
Massachusetts,MA,2,8,
Massachusetts,MA,3,6,
Massachusetts,MA,4,6,
Massachusetts,MA,5,14,
Massachusetts,MA,6,4,
Massachusetts,MA,7,31,
Massachusetts,MA,8,6,
Massachusetts,MA,9,5,
Michigan,MI,1,-5,
Michigan,MI,2,-7,
Michigan,MI,3,-4,
Michigan,MI,4,-5,
Michigan,MI,5,10,
Michigan,MI,6,-1,
Michigan,MI,7,-3,
Michigan,MI,8,-2,
Michigan,MI,9,6,
Michigan,MI,10,-6,
Michigan,MI,11,-4,
Michigan,MI,12,15,
Michigan,MI,13,34,
Michigan,MI,14,29,
Minnesota,MN,1,-1,
Minnesota,MN,2,-2,
Minnesota,MN,3,-2,
Minnesota,MN,4,11,
Minnesota,MN,5,22,
Minnesota,MN,6,-10,
Minnesota,MN,7,-6,
Minnesota,MN,8,1,
Mississippi,MS,1,-16,
Mississippi,MS,2,13,
Mississippi,MS,3,-14,
Mississippi,MS,4,-21,
Missouri,MO,1,28,
Missouri,MO,2,-8,
Missouri,MO,3,-13,
Missouri,MO,4,-13,
Missouri,MO,5,9,
Missouri,MO,6,-12,
Missouri,MO,7,-19,
Missouri,MO,8,-17,
Montana,MT,1,-7,
Nebraska,NE,1,-10,
Nebraska,NE,2,-4,
Nebraska,NE,3,-23,
Nevada,NV,1,14,
Nevada,NV,2,-5,
Nevada,NV,3,0,
Nevada,NV,4,4,
New Hampshire,NH,1,-1,
New Hampshire,NH,2,3,
New Jersey,NJ,1,13,
New Jersey,NJ,2,1,
New Jersey,NJ,3,-1,
New Jersey,NJ,4,-7,
New Jersey,NJ,5,-4,
New Jersey,NJ,6,8,
New Jersey,NJ,7,-6,
New Jersey,NJ,8,24,
New Jersey,NJ,9,14,
New Jersey,NJ,10,34,
New Jersey,NJ,11,-6,
New Jersey,NJ,12,14,
New Mexico,NM,1,7,
New Mexico,NM,2,-5,
New Mexico,NM,3,8,
New York,NY,1,-2,
New York,NY,2,-1,
New York,NY,3,0,
New York,NY,4,3,
New York,NY,5,35,
New York,NY,6,13,
New York,NY,7,34,
New York,NY,8,35,
New York,NY,9,32,
New York,NY,10,23,
New York,NY,11,-2,
New York,NY,12,27,
New York,NY,13,42,
New York,NY,14,26,
New York,NY,15,43,
