department,name
Dept. of State,Sec. of State
Dept. of Treasury,Sec. of Treasury
Dept. of Defense,Sec. of Defense
Dept. of Commerce,Sec. of Commerce
Dept. of Justice,Attorney General
Dept. of Interior,Sec. of the Interior
Dept. of Agriculture,Sec. of Agriculture
Dept. of Labor,Sec. of Labor
Dept. of Health,Sec. of Health
Dept. of Housing and Urban Dev.,Sec. of Housing and Urban Dev.
Dept. of Transportation,Sec. of Transportation
Dept. of Energy,Sec. of Energy
Dept. of Veteran's Affairs,Sec. of Veteran's Affairs
Dept. of Education,Sec. of Education
Dept. of Homeland Security,Sec. of Homeland Security
